      Step     Time          Energy          fmax
FIRE:    0 15:16:08      -30.843364        4.480592
FIRE:    1 15:16:12      -31.222680        3.912726
FIRE:    2 15:16:16      -31.682401        1.033313
FIRE:    3 15:16:20      -31.096648        9.274215
FIRE:    4 15:16:24      -31.434483        5.489241
FIRE:    5 15:16:28      -31.676310        1.384622
      Step     Time          Energy          fmax
FIRE:    0 15:16:32      -31.699001        0.254868
FIRE:    1 15:16:36      -31.699864        0.082838
FIRE:    2 15:16:40      -31.699628        0.153803
FIRE:    3 15:16:43      -31.699736        0.126350
FIRE:    4 15:16:47      -31.699879        0.076685
FIRE:    5 15:16:51      -31.699960        0.014053
