      Step     Time          Energy          fmax
FIRE:    0 06:19:15  -263918.513740         2.334751
FIRE:    1 06:41:18  -263918.601260         1.916864
FIRE:    2 07:02:39  -263918.717220         1.279427
FIRE:    3 07:22:46  -263918.796530         1.066959
FIRE:    4 07:45:03  -263918.830450         1.050774
FIRE:    5 08:07:48  -263918.839670         1.005984
FIRE:    6 08:30:17  -263918.855810         0.910137
FIRE:    7 08:53:59  -263918.875120         0.773895
FIRE:    8 09:18:10  -263918.893950         0.591030
FIRE:    9 09:41:01  -263918.910330         0.619624
FIRE:   10 10:05:51  -263918.924410         0.679314
FIRE:   11 10:27:18  -263918.937640         0.653194
FIRE:   12 10:49:40  -263918.953000         0.586405
FIRE:   13 11:10:50  -263918.971900         0.643837
FIRE:   14 11:34:40  -263918.994920         0.636808
FIRE:   15 11:54:27  -263919.020590         0.431632
FIRE:   16 12:15:38  -263919.043310         0.303310
FIRE:   17 12:37:20  -263919.059180         0.369847
FIRE:   18 12:59:47  -263919.072210         0.423421
FIRE:   19 13:22:04  -263919.084730         0.433878
FIRE:   20 13:48:23  -263919.094190         0.396502
FIRE:   21 14:09:24  -263919.100120         0.317369
FIRE:   22 14:29:02  -263919.107470         0.390565
FIRE:   23 14:49:58  -263919.116730         0.276149
FIRE:   24 15:16:41  -263919.123690         0.347759
FIRE:   25 15:41:03  -263919.126710         0.282071
FIRE:   26 16:01:41  -263919.130180         0.334106
FIRE:   27 16:23:50  -263919.134210         0.161807
