     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 04:38:42  -211834.477471       0.8267       0.0000       0.1000       1.0000
Sella   1 04:59:05  -211834.538806       0.3520       0.0000       0.1150       1.0190
Sella   2 05:02:29  -211834.618632       0.3683       0.0000       0.1322       0.9884
Sella   3 05:06:12  -211834.684035       0.4179       0.0000       0.1521       1.0130
Sella   4 05:09:55  -211834.751623       0.4961       0.0000       0.1521       1.1538
Sella   5 05:13:33  -211834.822903       0.6705       0.0000       0.1521       0.7563
Sella   6 05:17:04  -211834.879521       0.2776       0.0000       0.1521       1.7567
Sella   7 05:20:31  -211834.903815       0.4235       0.0000       0.1521       2.0211
Sella   8 05:23:52  -211834.873134       0.9716       0.0000       0.0989      -0.4924
Sella   9 05:27:10  -211834.932781       0.1978       0.0000       0.0989       0.8622
Sella  10 05:30:31  -211834.940092       0.1158       0.0000       0.0989       1.2676
Sella  11 05:33:50  -211834.948219       0.1125       0.0000       0.0989       1.2886
Sella  12 05:37:25  -211834.950244       0.0831       0.0000       0.0989       0.5275
Sella  13 05:40:57  -211834.951365       0.0306       0.0000       0.0989       0.9461
