      Step     Time          Energy          fmax
FIRE:    0 01:04:19   -11866.222435         0.214154
FIRE:    1 01:05:26   -11866.221200         0.196315
FIRE:    2 01:06:30   -11866.218656         0.168128
FIRE:    3 01:07:35   -11866.214818         0.152430
FIRE:    4 01:08:40   -11866.209822         0.142725
FIRE:    5 01:09:46   -11866.203905         0.131076
FIRE:    6 01:10:50   -11866.197327         0.118187
FIRE:    7 01:11:55   -11866.190359         0.103652
FIRE:    8 01:13:01   -11866.182544         0.087472
FIRE:    9 01:14:05   -11866.174004         0.070296
FIRE:   10 01:15:09   -11866.164887         0.076730
FIRE:   11 01:16:15   -11866.155143         0.072286
FIRE:   12 01:17:20   -11866.144338         0.100238
FIRE:   13 01:18:25   -11866.131604         0.357997
FIRE:   14 01:19:29   -11866.114124         1.158847
FIRE:   15 01:20:34   -11866.116632         0.117065
FIRE:   16 01:21:40   -11866.116540         0.086218
FIRE:   17 01:22:45   -11866.116357         0.058597
FIRE:   18 01:23:50   -11866.116047         0.058729
FIRE:   19 01:24:55   -11866.115626         0.070572
FIRE:   20 01:26:00   -11866.115109         0.077772
FIRE:   21 01:27:05   -11866.114520         0.059122
FIRE:   22 01:28:10   -11866.113818         0.059208
FIRE:   23 01:29:15   -11866.112925         0.059393
FIRE:   24 01:30:21   -11866.111782         0.069042
FIRE:   25 01:31:26   -11866.110387         0.059493
FIRE:   26 01:32:31   -11866.108643         0.059439
FIRE:   27 01:33:36   -11866.106495         0.059278
FIRE:   28 01:34:40   -11866.103900         0.058520
FIRE:   29 01:35:46   -11866.100747         0.060983
FIRE:   30 01:36:51   -11866.096976         0.056205
FIRE:   31 01:37:56   -11866.092423         0.057664
FIRE:   32 01:39:01   -11866.086993         0.070290
FIRE:   33 01:40:06   -11866.080518         0.072771
FIRE:   34 01:41:12   -11866.072689         0.090039
FIRE:   35 01:42:17   -11866.063108         0.211397
FIRE:   36 01:43:21   -11866.051366         0.527499
FIRE:   37 01:44:28   -11866.051451         0.040007
