      Step     Time          Energy          fmax
FIRE:    0 08:55:08  -239253.374780         4.212368
FIRE:    1 08:58:47  -239253.466390         4.125912
FIRE:    2 09:02:53  -239253.662580         3.448906
FIRE:    3 09:07:00  -239253.990790         2.514944
FIRE:    4 09:10:53  -239254.436290         6.209782
FIRE:    5 09:14:57  -239254.468130         4.840910
FIRE:    6 09:19:07  -239254.532530         2.720906
FIRE:    7 09:22:51  -239254.631760         2.527250
FIRE:    8 09:26:40  -239254.683080         2.429969
FIRE:    9 09:30:43  -239254.720470         2.274184
FIRE:   10 09:34:51  -239254.763880         2.029835
FIRE:   11 09:38:28  -239254.812400         2.045845
FIRE:   12 09:42:31  -239254.871030         1.855162
FIRE:   13 09:46:06  -239254.940210         1.395570
FIRE:   14 09:49:42  -239255.016950         0.786187
FIRE:   15 09:53:38  -239255.090240         2.461770
FIRE:   16 09:57:31  -239255.091400         2.140611
FIRE:   17 10:01:20  -239255.093690         1.578586
FIRE:   18 10:05:45  -239255.097070         1.048630
FIRE:   19 10:09:39  -239255.101570         0.921010
FIRE:   20 10:13:26  -239255.107150         0.762286
FIRE:   21 10:16:56  -239255.113640         0.724645
FIRE:   22 10:20:58  -239255.120710         0.942723
FIRE:   23 10:25:03  -239255.128850         1.015315
FIRE:   24 10:28:28  -239255.137820         0.925651
FIRE:   25 10:32:24  -239255.147350         0.630389
FIRE:   26 10:36:30  -239255.157090         0.330813
FIRE:   27 10:39:59  -239255.166650         0.606478
FIRE:   28 10:43:51  -239255.166780         0.567681
FIRE:   29 10:47:52  -239255.167050         0.493741
FIRE:   30 10:52:13  -239255.167440         0.405009
FIRE:   31 10:56:12  -239255.167980         0.392288
FIRE:   32 11:00:09  -239255.168650         0.376641
FIRE:   33 11:03:45  -239255.169440         0.357892
FIRE:   34 11:07:17  -239255.170370         0.335738
FIRE:   35 11:10:44  -239255.171510         0.306663
FIRE:   36 11:14:40  -239255.172910         0.272843
FIRE:   37 11:18:47  -239255.174590         0.292631
FIRE:   38 11:22:18  -239255.176570         0.255637
FIRE:   39 11:26:25  -239255.178840         0.189999
