Loading mkl version 2023.0.0
Loading tbb version 2021.8.0
Loading compiler-rt version 2023.0.0
Loading mpi version 2021.8.0
Loading compiler version 2023.0.0
Loading oclfpga version 2023.0.0
  Load "debugger" to debug DPC++ applications with the gdb-oneapi debugger.
  Load "dpl" for additional DPC++ APIs: https://github.com/oneapi-src/oneDPL

Loading abacus/3.7.5-icx
  Loading requirement: tbb/latest compiler-rt/latest mkl/latest mpi/latest
    oclfpga/latest compiler/latest
     Step     Time          Energy          fmax
IRC:    0 02:22:18  -239255.122800        0.048260
IRC:    1 02:28:12  -239255.139780        0.267745
IRC:    2 02:34:03  -239255.184990        0.435354
IRC:    3 02:39:56  -239255.244350        0.483288
IRC:    4 02:43:49  -239255.306200        0.494103
IRC:    5 02:47:44  -239255.365810        0.520506
IRC:    6 02:51:39  -239255.422090        0.531359
IRC:    7 02:57:30  -239255.475620        0.524176
IRC:    8 03:01:24  -239255.526430        0.503251
IRC:    9 03:03:22  -239255.573890        0.469293
IRC:   10 03:07:17  -239255.617880        0.428419
IRC:   11 03:09:14  -239255.659000        0.383645
IRC:   12 03:11:12  -239255.697570        0.372457
IRC:   13 03:15:05  -239255.732720        0.393560
IRC:   14 03:19:00  -239255.762580        0.410279
IRC:   15 03:22:56  -239255.785260        0.420506
IRC:   16 03:28:48  -239255.799380        0.417470
IRC:   17 03:32:45  -239255.806810        0.399765
IRC:   18 03:34:45  -239255.812380        0.377016
IRC:   19 03:36:43  -239255.817510        0.353624
IRC:   20 03:38:40  -239255.822250        0.330752
IRC:   21 03:40:38  -239255.826680        0.308262
IRC:   22 03:42:35  -239255.830820        0.286664
IRC:   23 03:44:33  -239255.834650        0.265499
IRC:   24 03:46:30  -239255.838250        0.245138
IRC:   25 03:48:27  -239255.841590        0.225516
IRC:   26 03:50:25  -239255.844700        0.206834
IRC:   27 03:52:22  -239255.847560        0.188984
IRC:   28 03:54:20  -239255.850240        0.172273
IRC:   29 03:56:18  -239255.852720        0.156417
IRC:   30 03:58:15  -239255.855010        0.142307
IRC:   31 04:00:13  -239255.857130        0.128531
IRC:   32 04:02:10  -239255.859130        0.116227
IRC:   33 04:04:07  -239255.860960        0.104093
IRC:   34 04:06:04  -239255.862670        0.093641
IRC:   35 04:08:01  -239255.864240        0.083081
IRC:   36 04:10:00  -239255.865720        0.074254
IRC:   37 04:11:58  -239255.867050        0.065400
IRC:   38 04:13:55  -239255.868270        0.057765
IRC:   39 04:15:52  -239255.869400        0.050548
IRC:   40 04:17:49  -239255.870430        0.045971
IRC:   41 04:25:39  -239255.140220        0.229534
IRC:   42 04:31:29  -239255.179620        0.350775
IRC:   43 04:37:22  -239255.227100        0.434114
IRC:   44 04:43:29  -239255.278790        0.473178
IRC:   45 04:47:33  -239255.333790        0.495731
IRC:   46 04:51:36  -239255.391260        0.512503
IRC:   47 04:55:40  -239255.450270        0.526038
IRC:   48 04:59:44  -239255.510050        0.537836
IRC:   49 05:03:49  -239255.569870        0.548644
IRC:   50 05:07:57  -239255.629020        0.557338
IRC:   51 05:12:02  -239255.686660        0.561310
IRC:   52 05:14:06  -239255.742010        0.559583
IRC:   53 05:18:11  -239255.794190        0.553834
