      Step     Time          Energy          fmax
FIRE:    0 20:23:40    -7051.845261         0.733419
FIRE:    1 20:29:50    -7051.878978         0.594353
FIRE:    2 20:36:03    -7051.922892         0.350451
FIRE:    3 20:42:03    -7051.949535         0.195840
FIRE:    4 20:48:01    -7051.951140         0.224452
FIRE:    5 20:54:13    -7051.952712         0.217386
FIRE:    6 21:00:26    -7051.955431         0.203576
FIRE:    7 21:06:38    -7051.958867         0.183673
FIRE:    8 21:12:39    -7051.962388         0.161259
FIRE:    9 21:18:48    -7051.965430         0.131377
FIRE:   10 21:25:01    -7051.967620         0.102939
FIRE:   11 21:31:28    -7051.968923         0.112928
FIRE:   12 21:37:42    -7051.969727         0.129786
FIRE:   13 21:45:07    -7051.970535         0.139007
FIRE:   14 21:51:16    -7051.971969         0.136773
FIRE:   15 21:57:23    -7051.974396         0.120863
FIRE:   16 22:03:32    -7051.977526         0.091130
FIRE:   17 22:09:38    -7051.980320         0.075214
FIRE:   18 22:15:43    -7051.981789         0.059108
FIRE:   19 22:21:45    -7051.982493         0.087693
FIRE:   20 22:27:48    -7051.983782         0.089958
FIRE:   21 22:33:50    -7051.985350         0.048323
