      Step     Time          Energy          fmax
FIRE:    0 09:59:51  -318556.862280         0.586339
FIRE:    1 10:04:57  -318556.854350         0.573976
FIRE:    2 10:10:00  -318556.839250         0.546148
FIRE:    3 10:14:50  -318556.818480         0.496721
FIRE:    4 10:19:49  -318556.794950         0.418288
FIRE:    5 10:24:53  -318556.773630         0.310658
FIRE:    6 10:30:23  -318556.760550         0.249917
FIRE:    7 10:35:26  -318556.760750         0.201490
FIRE:    8 10:40:39  -318556.778580         0.342521
FIRE:    9 10:45:47  -318556.778960         0.337077
FIRE:   10 10:50:44  -318556.779570         0.326065
FIRE:   11 10:55:32  -318556.780460         0.309697
FIRE:   12 11:00:26  -318556.781490         0.288100
FIRE:   13 11:05:41  -318556.782510         0.261264
FIRE:   14 11:10:59  -318556.783530         0.249163
FIRE:   15 11:16:17  -318556.784330         0.292629
FIRE:   16 11:21:20  -318556.785100         0.323803
FIRE:   17 11:26:06  -318556.785840         0.333362
FIRE:   18 11:31:25  -318556.786320         0.312995
FIRE:   19 11:35:58  -318556.787450         0.265604
FIRE:   20 11:41:11  -318556.789160         0.171226
FIRE:   21 11:46:11  -318556.792690         0.153032
FIRE:   22 11:51:38  -318556.798450         0.183962
FIRE:   23 11:56:29  -318556.805550         0.299887
FIRE:   24 12:01:48  -318556.805560         0.288694
FIRE:   25 12:07:06  -318556.805590         0.267152
FIRE:   26 12:12:10  -318556.805640         0.235663
FIRE:   27 12:17:03  -318556.805720         0.196993
FIRE:   28 12:21:48  -318556.805860         0.154253
FIRE:   29 12:26:47  -318556.806040         0.111546
FIRE:   30 12:31:47  -318556.806250         0.095836
FIRE:   31 12:36:46  -318556.806590         0.077009
FIRE:   32 12:41:58  -318556.807240         0.084967
FIRE:   33 12:47:09  -318556.808260         0.118998
FIRE:   34 12:51:57  -318556.809610         0.147959
FIRE:   35 12:57:01  -318556.811260         0.162591
FIRE:   36 13:01:58  -318556.813130         0.156556
FIRE:   37 13:06:40  -318556.815020         0.129671
FIRE:   38 13:11:25  -318556.816440         0.095174
FIRE:   39 13:16:40  -318556.817830         0.081007
FIRE:   40 13:21:20  -318556.819600         0.144246
FIRE:   41 13:26:45  -318556.822790         0.655816
FIRE:   42 13:31:21  -318556.822870         0.086959
FIRE:   43 13:36:25  -318556.822890         0.086132
FIRE:   44 13:41:48  -318556.822930         0.084420
FIRE:   45 13:46:59  -318556.822980         0.081922
FIRE:   46 13:51:57  -318556.823060         0.078546
FIRE:   47 13:56:47  -318556.823140         0.074320
FIRE:   48 14:01:59  -318556.823250         0.069205
FIRE:   49 14:06:58  -318556.823360         0.063132
FIRE:   50 14:12:19  -318556.823510         0.055320
FIRE:   51 14:17:02  -318556.823650         0.050179
FIRE:   52 14:22:13  -318556.823800         0.035775
