      Step     Time          Energy          fmax
BFGS:    0 15:03:22   -26331.357585         6.892827
BFGS:    1 15:06:35   -26332.227954         3.102393
BFGS:    2 15:09:39   -26332.487474         1.144833
BFGS:    3 15:12:44   -26332.526042         0.547028
BFGS:    4 15:15:53   -26332.545480         0.628247
BFGS:    5 15:18:41   -26332.570347         0.555895
BFGS:    6 15:21:36   -26332.591952         0.358960
BFGS:    7 15:24:32   -26332.601269         0.235176
BFGS:    8 15:27:22   -26332.602657         0.145715
BFGS:    9 15:30:13   -26332.603487         0.148275
BFGS:   10 15:33:06   -26332.605438         0.128676
BFGS:   11 15:36:01   -26332.607321         0.117127
BFGS:   12 15:38:53   -26332.607941         0.095119
BFGS:   13 15:40:39   -26332.607970         0.060842
BFGS:   14 15:41:47   -26332.608166         0.045963
